CHANNEL1;CHANNEL2;CHANNEL3;ENTRY AGE;SEX;POLICY TYPE 1;POLICY TYPE 2;POLICY TYPE 3;PAYMENT MODE;POLICY STATUS;BENEFIT;NON LAPSE GUARANTEED;SUBSTANDARD RISK;NUMBER OF ADVANCE PREMIUM;INITIAL BENEFIT;Full Benefit?;Policy Year (Decimal);Policy Year;Premium;Issue Date;;
1;1;8;29;F;2;3;A;Semiannually;Lapse; 20,000 ;NO NLG;0;0;0;N;6.083333333;7; 63 ;Jul-13;;
1;1;10;27;M;2;3;A;Semiannually;Lapse; 20,000 ;NO NLG;0;0;0;N;5.833333333;6; 58 ;Oct-13;;
1;1;15;26;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;3.916666667;4; 65 ;Sep-15;;
1;1;1;45;M;9;51;A;Monthly;Lapse; 50,000 ;NO NLG;0;0;0;N;3.333333333;4; 91 ;Apr-16;;
1;1;1;45;M;9;32;E;Monthly;Lapse; 60 ;NO NLG;0;0;0;N;3.333333333;4; 72 ;Apr-16;;
1;1;1;45;M;9;36;E;Monthly;Lapse; 2,500 ;NO NLG;0;0;0;N;3.333333333;4; 6 ;Apr-16;;
1;1;1;45;M;9;37;E;Monthly;Lapse; - ;NO NLG;0;0;0;N;3.333333333;4; 25 ;Apr-16;;
1;1;1;23;F;9;51;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;3.416666667;4; 140 ;Mar-16;;
1;1;1;23;F;9;36;E;Monthly;Lapse; 5,000 ;NO NLG;0;0;0;N;3.416666667;4; 10 ;Mar-16;;
1;1;1;23;F;9;34;E;Monthly;Lapse; 1,000 ;NO NLG;0;0;0;N;3.416666667;4; 113 ;Mar-16;;
1;1;1;23;F;9;38;E;Monthly;Lapse; 5,000 ;NO NLG;0;0;0;N;3.416666667;4; 33 ;Mar-16;;
1;1;1;43;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;8;9; 200 ;Aug-11;;
1;1;1;33;F;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;8;9; 200 ;Aug-11;;
1;1;18;51;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;8;9; 352 ;Aug-11;;
1;1;1;24;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.916666667;8; 151 ;Sep-11;;
